Roger Franois Ducret,3,218
Charlotte Susan Jane Dujardin,3,218
Eskild Balschmidt Ebbesen,3,218
"Karin Enke-Kania (-Busch-, -Richter)",3,218
Anthony Lee Ervin,3,218
Tony Estanguet,3,218
George Louis Eyser,3,218
Dennis Fenton,3,218
Csaba Fenyvesi,3,218
Lisa M. Fernandez (-Lujan),3,218
Jens Fiedler,3,218
Anatoly Vasilyevich Firsov,3,218
John Joseph Flanagan,3,218
Alfred Flatow,3,218
Emilio Fontanella,3,218
Sylvia Shaqueria Fowles,3,218
Ranganathan Francis,3,218
Karl Telford Frederick,3,218
Konrad Frey,3,218
"Anna Christine ""Anni"" Friesinger-Postma",3,218
Ugo Frigerio,3,218
Liliana Gafencu,3,218
Marc Gagnon,3,218
"Ambrose ""Rowdy"" Gaines, IV",3,218
Giulio Gaudini,3,218
Nina Vasilyevna Gavrylyuk,3,218
Elena Georgescu-Nedelcu,3,218
Bernhard Germeshausen,3,218
Drew Cameron Ginn,3,218
Galina Yevgenyevna Gorokhova,3,218
Felix Gottwald,3,218
"Shane Elizabeth Gould (-Innis, -Nelms)",3,218
Gillis Emanuel Grafstrm,3,218
Michael Greis,3,218
Delorez Florence Griffith Joyner,3,218
Mariya Igorevna Gromova,3,218
Michael Gro,3,218
Johan Hagbart Pedersen Grttumsbraaten,3,218
Ingrid Gulbin-Engel-Krmer,3,218
Sven Tomas Gustafson,3,218
Torsten Ren Gutsche,3,218
Dezs Gyarmati,3,218
Grant George Hackett,3,218
Georg Hackl,3,218
Nicole Lee Haislett (-Bacher),3,218
Veikko Johannes Hakulinen,3,218
Charles Hamelin,3,218
Halvard Hanevold,3,218
Brendan Joseph Hansen,3,218
Lori D. Harrigan (-Mack),3,218
Thorleif Haug (Johnsen-),3,218
Rechelle Margaret Hawkes,3,218
"Michael Steward ""Mike"" Heath",3,218
Kathleen Joan Heddle,3,218
Carl Marcus Joakim Hellner,3,218
Rdiger Helm,3,218
"Sonja Henie (-Topping, -Gardiner, -Onstad)",3,218
Jan Margo Henne (-Hawkins),3,218
Jodie Clare Henry,3,218
"Charles Buchanan ""Charlie"" Hickcox",3,218
"Harry Livingston Hillman, Jr.",3,218
Pavol Hochschorner,3,218
Peter Hochschorner,3,218
Maria Hfl-Riesch,3,218
Nancy Lynn Hogshead (-Makar),3,218
Knut Holmann,3,218
Katinka Hossz,3,218
"Lemuel Clarence ""Bud"" Houser",3,218
"Matilda ""Lida"" Howell (Scott-)",3,218
Andrew James Hoy,3,218
Veikko Aarne Aleks Huhtanen,3,218
Vyacheslav Nikolayevich Ivanov,3,218
"Joseph ""Joe"" Jackson",3,218
John Arthur Jarvis,3,218
Jin Seon-Yu,3,218
Ivar Valentin Johansson,3,218
Leisel Marie Jones,3,218
"Jacqueline ""Jackie"" Joyner-Kersee",3,218
Michael Jung,3,218
Endre Kabos,3,218
Duke Paoa Kahino Makoe Hulikohoa Kahanamoku,3,218
Akakios Kakiasvili,3,218
Zoltn Kammerer,3,218
Aleksandr Aleksandrovich Karelin,3,218
Gyrgy Krpti,3,218
Pertti Johannes Karppinen,3,218
Tams Kss,3,218
Tatyana Vasilyevna Kazankina (-Kovalenko),3,218
"Rebecca D. ""Becky"" Kellar (-Duke)",3,218
"John Brenden ""Jack"" Kelly, Sr.",3,218
Eizo Kenmotsu,3,218
Sergey Vladimirovich Kharkov,3,218
Elvira Ramilevna Khasyanova,3,218
Andrey Valentinovich Khomutov,3,218
Lyudmila Iosifovna Khvedosyuk-Pinayeva,3,218
Ki Bo-Bae,3,218
Jean-Claude Killy,3,218
Kim Gi-Hun,3,218
"Charles Frederick ""Karch"" Kiraly",3,218
Mark Kirchner,3,218
Marja-Liisa Kirvesniemi-Hmlinen,3,218
Mariya Aleksandrovna Kiselyova,3,218
"Gergely ""Gerg"" Kiss",3,218
Katalin Kovcs,3,218
Sven Kramer,3,218
Barbara Krause (-Wanja),3,218
Ranomi Kromowidjojo,3,218
Viktor Grigoryevich Kuzkin,3,218
"Charline ""Charlie"" Labont",3,218
Samppa Kalevi Lajunen,3,218
Andrey Ivanovich Lavrov,3,218
"Steven Earl ""Steve"" Lewis",3,218
Li Ning,3,218
Li Xiaoxia,3,218
Luc Abalo,2,572
Carmine Abbagnale,2,572
Giuseppe Abbagnale,2,572
"Louis Grenville ""Lou"" Abell",2,572
Julien Absalon,2,572
Donat Acklin,2,572
Nicola Virginia Adams,2,572
Valerie Kasanita Adams-Vili (-Price),2,572
Erik William Adlerz,2,572
"Rebecca ""Becky"" Adlington",2,572
Marilyn Agliotti,2,572
Yannick Agnel,2,572
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",2,572
Mushtaq Ahmed,2,572
Nobuyuki Aihara,2,572
Omar Ajete Iglesias,2,572
Virgilijus Alekna,2,572
Veniamin Veniaminovich Aleksandrov,2,572
Vasily Ivanovich Alekseyev,2,572
Gaston Jules Louis Antoine Alibert,2,572
Alphonse Allaert,2,572
Anatoly Nikolayevich Alyabyev,2,572
Camilla Rseler Andersen,2,572
Gary Lee Anderson,2,572
Soslan Petrovich Andiyev,2,572
Jos Leandro Andrade,2,572
Theresa Andrews,2,572
Dragan Andri,2,572
Hannelore Anke (-Hofmann),2,572
Johan August Anker,2,572
Alyson Regina Annan,2,572
Daniela Anschtz-Thoms,2,572
Paul Eugne Albert Anspach,2,572
"Kaarlo Johan Jalmari ""Kalle"" Anttila",2,572
Katrin Apel,2,572
Rodica Arba-Pucatu,2,572
"Marcus Mills Pomeroy ""Mark"" Arie",2,572
Pedro Arispe,2,572
Tobias Arlt,2,572
Gaston Achille Louis Aumoitte,2,572
Tatyana Borisovna Averina-Barabash,2,572
Albert Jean Louis Ayat,2,572
"Arthur DeLancey ""Dan"" Ayrault, Jr.",2,572
Sarah Lianne Ayton (-Dempsey),2,572
Yelena Yuryevna Azarova,2,572
Filiberto Azcuy Aguilera,2,572
Karina Borisovna Aznavuryan,2,572
Alonzo Carl Babers,2,572
Donovan Bailey,2,572
Kemar Bailey-Cole,2,572
Iolanda Bala (-Ster),2,572
Baldo Baldi,2,572
"Nikolaus ""Klaus"" Balkenhol",2,572
"Voldimars ""Valdemar"" Bandolowski",2,572
Jesper Bank,2,572
"Raymond James ""Ray"" Barbuti",2,572
Hakon Barfod,2,572
Oleksiy Stepanovych Barkalov,2,572
Charles Wade Barkley,2,572
Jane Louise Barkman (-Brown),2,572
Jennifer-Kirsten Barnes,2,572
Robert Bartko,2,572
"Gregory Mark ""Greg"" Barton",2,572
Olga Fyodorovna Barysheva-Korostelyova,2,572
Waldemar Romuald Baszanowski,2,572
Walter Bathe,2,572
Mavlet Alavdinovich Batyrov,2,572
"Alexander ""Alex"" Baumann",2,572
Bruce Robert Baumgartner,2,572
"Irving Knott ""Irv"" Baxter",2,572
Ryan Neville Bayley,2,572
Mithat Bayrak,2,572
Nikolay Serafimovich Bazhukov,2,572
Amanda Ray Beard (-Brown),2,572
"Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)",2,572
ric Bdard,2,572
Myriam Bdard,2,572
Jan Behrendt,2,572
Antonella Bellutti,2,572
Stefania Belmondo,2,572
Sergey Alekseyevich Beloglazov,2,572
Lyudmila Yevgenevna Belousova (-Protopopova),2,572
Lindsay Dianne Benko (-Mintenko),2,572
"Robert Earl ""Bob"" Bennett",2,572
Charles Bennett,2,572
"Richard ""Ricky"" Berens",2,572
Liubov Ivanivna Berezhna-Odynokova,2,572
Tora Berger (-Tveldal),2,572
Patrice Bergeron-Cleary,2,572
